parameter,value,unit,module,source_tag,uncertainty_level,calibration_status
ALPHA_CAPITAL,0.3,dimensionless,gim.core.calibration_params,PWT10,low,validated
BASE_BIRTH_RATE,0.025,dimensionless,gim.core.calibration_params,WDI23,low,validated
BASE_DEATH_RATE,0.012,dimensionless,gim.core.calibration_params,WDI23,low,validated
BASE_INTEREST_RATE,0.02,dimensionless,gim.core.calibration_params,WEO25,medium,unspecified
BETA_LABOR,0.6,dimensionless,gim.core.calibration_params,PWT10,low,validated
BIODIVERSITY_RISK_DAMP,0.6,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
BIODIVERSITY_TEMP_DAMAGE,0.004,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
BIRTH_GDP_PC_DECAY,1e-06,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
BIRTH_GINI_DAMP,0.3,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
BIRTH_PROSPERITY_DAMP,0.5,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
BIRTH_RATE_MAX,0.04,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
BIRTH_RATE_MIN,0.006,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
BIRTH_SCARCITY_DAMP,0.6,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CAPITAL_DEPRECIATION,0.05,dimensionless,gim.core.calibration_params,PWT10,low,validated
CARBON_POOL_FRACTIONS,"[0.2173, 0.224, 0.2824, 0.2763]",vector,gim.core.calibration_params,IPCC_AR6,low,validated
CARBON_POOL_TIMESCALES,"[inf, 394.4, 36.54, 4.304]",vector,gim.core.calibration_params,IPCC_AR6,low,validated
CLIMATE_ADAPT_BASE,0.005,dimensionless,gim.core.calibration_params,PRIOR,high,prior
CLIMATE_ADAPT_RISK_SENS,0.015,dimensionless,gim.core.calibration_params,PRIOR,high,prior
CO2_INTENSITY_FLOOR,0.02,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CONTAGION_DEBT_THRESHOLD,0.9,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CONTAGION_SPREAD_CAP,0.05,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
CONTAGION_SPREAD_SENS,0.02,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CRISK_BASE_CONST,0.3,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CRISK_GINI_WEIGHT,0.15,dimensionless,gim.core.calibration_params,PRIOR,high,questionable
CRISK_RESPONSE_RATE,0.06,dimensionless,gim.core.calibration_params,PRIOR,high,prior
CRISK_TEMP_SENSITIVITY,0.45,dimensionless,gim.core.calibration_params,PRIOR,high,prior
CRISK_WATER_WEIGHT,0.45,dimensionless,gim.core.calibration_params,PRIOR,high,prior
CR_FINANCIAL_BLEND_NEXT_W,0.4,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_FINANCIAL_BLEND_NOW_W,0.6,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_FINANCIAL_DEBT_GDP_HI,1.8,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_FINANCIAL_DEBT_GDP_LO,0.6,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_FINANCIAL_NEXT_GROWTH_W,0.35,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_FINANCIAL_NEXT_STRESS_W,0.65,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_FINANCIAL_NOW_CRISIS_W,0.15,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_FINANCIAL_NOW_DEBT_W,0.35,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_FINANCIAL_NOW_RATE_W,0.25,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_FINANCIAL_NOW_STRESS_W,0.25,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_FINANCIAL_RATE_HI,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_FINANCIAL_RATE_LO,0.04,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_GROWTH_DETERIORATION_HI,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_GROWTH_DETERIORATION_LO,0.01,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_MACRO_FX_BUFFER_CAP,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_MACRO_FX_BUFFER_W,0.15,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_MACRO_GROWTH_W,0.35,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_MACRO_INFLATION_HI,0.12,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_MACRO_INFLATION_LO,0.02,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_MACRO_INFLATION_W,0.15,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_MACRO_RESERVE_W,0.15,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_MACRO_UNEMPLOYMENT_HI,0.22,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_MACRO_UNEMPLOYMENT_LO,0.05,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_MACRO_UNEMPLOYMENT_W,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_RATING_DISTRESSED_MAX,23,count,gim.core.calibration_params,PRIOR,high,unspecified
CR_RATING_INVESTMENT_MAX,12,count,gim.core.calibration_params,PRIOR,high,unspecified
CR_RATING_MAX,26,count,gim.core.calibration_params,PRIOR,high,unspecified
CR_RATING_MIN,1,count,gim.core.calibration_params,PRIOR,high,unspecified
CR_RATING_PRIME_MAX,3,count,gim.core.calibration_params,PRIOR,high,unspecified
CR_RATING_SUB_INVESTMENT_MAX,18,count,gim.core.calibration_params,PRIOR,high,unspecified
CR_RESERVE_ENERGY_YEARS,3,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_RESERVE_FOOD_YEARS,2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_RESERVE_METALS_YEARS,3,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_RESERVE_RISK_ENERGY_W,0.5,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_RESERVE_RISK_FOOD_W,0.3,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_RESERVE_RISK_METALS_W,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_REV_FRAGILITY_W,0.15,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_REV_PROTEST_W,0.3,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_REV_TENSION_W,0.25,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_REV_TREND_HI,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_REV_TREND_LO,0,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_REV_TREND_W,0.1,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_REV_TRUST_W,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SANCTIONS_BLEND_NEXT_W,0.45,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SANCTIONS_BLEND_NOW_W,0.55,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SANCTION_HOSTILITY_CONFLICT_W,0.55,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SANCTION_HOSTILITY_TRUST_W,0.45,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SANCTION_NEXT_HOSTILITY_W,0.6,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SANCTION_NEXT_PROPENSITY_W,0.4,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SANCTION_PRESSURE_DIVISOR,8,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SANCTION_PRESSURE_STRONG_WEIGHT,2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_FOOD_STRESS_W,0.15,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_FOOD_YEARS_CAP,2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_GINI_HI,65,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_GINI_LO,30,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_INFLATION_HI,0.15,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_INFLATION_LO,0.02,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_MANAGEMENT_POLICY_W,0.25,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_MANAGEMENT_SPENDING_W,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_MANAGEMENT_STABILITY_W,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_MANAGEMENT_TRUST_W,0.35,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_RISK_COLLAPSE_W,0.15,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_RISK_MANAGEMENT_W,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_RISK_REV_W,0.55,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_RISK_STRUCT_W,0.3,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_SPENDING_HI,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_SPENDING_LO,0.04,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_STRUCTURAL_GINI_W,0.3,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_STRUCTURAL_INFLATION_W,0.15,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_STRUCTURAL_UNEMPLOYMENT_W,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_STRUCTURAL_WATER_W,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_UNEMPLOYMENT_HI,0.25,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_UNEMPLOYMENT_LO,0.05,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_TOTAL_FINANCIAL_W,0.25,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_TOTAL_MACRO_W,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
