parameter,value,unit,module,source_tag,uncertainty_level,calibration_status
CR_RATING_SUB_INVESTMENT_MAX,18,count,gim.core.calibration_params,PRIOR,high,unspecified
CR_RESERVE_ENERGY_YEARS,3,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_RESERVE_FOOD_YEARS,2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_RESERVE_METALS_YEARS,3,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_RESERVE_RISK_ENERGY_W,0.5,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_RESERVE_RISK_FOOD_W,0.3,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_RESERVE_RISK_METALS_W,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_REV_FRAGILITY_W,0.15,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_REV_PROTEST_W,0.3,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_REV_TENSION_W,0.25,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_REV_TREND_HI,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_REV_TREND_LO,0,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_REV_TREND_W,0.1,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_REV_TRUST_W,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SANCTIONS_BLEND_NEXT_W,0.45,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SANCTIONS_BLEND_NOW_W,0.55,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SANCTION_HOSTILITY_CONFLICT_W,0.55,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SANCTION_HOSTILITY_TRUST_W,0.45,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SANCTION_NEXT_HOSTILITY_W,0.6,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SANCTION_NEXT_PROPENSITY_W,0.4,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SANCTION_PRESSURE_DIVISOR,8,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SANCTION_PRESSURE_STRONG_WEIGHT,2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_FOOD_STRESS_W,0.15,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_FOOD_YEARS_CAP,2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_GINI_HI,65,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_GINI_LO,30,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_INFLATION_HI,0.15,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_INFLATION_LO,0.02,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_MANAGEMENT_POLICY_W,0.25,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_MANAGEMENT_SPENDING_W,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_MANAGEMENT_STABILITY_W,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_MANAGEMENT_TRUST_W,0.35,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_RISK_COLLAPSE_W,0.15,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_RISK_MANAGEMENT_W,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_RISK_REV_W,0.55,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_RISK_STRUCT_W,0.3,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_SPENDING_HI,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_SPENDING_LO,0.04,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_STRUCTURAL_GINI_W,0.3,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_STRUCTURAL_INFLATION_W,0.15,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_STRUCTURAL_UNEMPLOYMENT_W,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_STRUCTURAL_WATER_W,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_UNEMPLOYMENT_HI,0.25,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_SOCIAL_UNEMPLOYMENT_LO,0.05,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_TOTAL_FINANCIAL_W,0.25,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_TOTAL_MACRO_W,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_TOTAL_SANCTIONS_W,0.13,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_TOTAL_SOCIAL_W,0.22,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_TOTAL_WAR_W,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_WAR_BLEND_AT_WAR_W,0.6,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_WAR_BLEND_NEXT_W,0.4,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_WAR_HIGH_CONFLICT_THRESHOLD,0.55,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_WAR_LINK_CONFLICT_W,0.55,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_WAR_LINK_MILITARY_W,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_WAR_LINK_TRUST_W,0.25,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_WAR_MIL_PRESSURE_SCALE,1.5,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_WAR_NEXT_CONFLICT_PRONE_W,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_WAR_NEXT_HAWKISH_W,0.15,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_WAR_NEXT_WAR_W,0.65,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CULTURE_DIM_REF,50,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
CULTURE_LTO_PATIENCE_SENS,0.3,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
CULTURE_PDI_TRUST_SENS,0.02,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
CULTURE_SOCIAL_LINKS,true,bool,gim.core.calibration_params,F3,unspecified,unspecified
CULTURE_UAI_STRESS_SENS,0.5,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
DAMAGE_BENEFIT_MAX,0,dimensionless,gim.core.calibration_params,#17,unspecified,deprecated
DAMAGE_BENEFIT_PEAK,0.3,dimensionless,gim.core.calibration_params,DEPRECATED #17,unspecified,deprecated
DAMAGE_BENEFIT_STDDEV,0.5,dimensionless,gim.core.calibration_params,DEPRECATED #17,unspecified,unspecified
DAMAGE_QUAD_COEFF,0.0078,dimensionless,gim.core.calibration_params,"DATA: Howard & Sterner 2017 preferred central, ~7% GDP at +3C",medium,data
DAMAGE_RISK_ADJ,0.005,dimensionless,gim.core.calibration_params,PRIOR,high,questionable
DEATH_GDP_PC_DECAY,5e-07,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
DEATH_GINI_SENS,0.4,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
DEATH_PROSPERITY_DAMP,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
DEATH_RATE_MAX,0.03,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
DEATH_RATE_MIN,0.004,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
DEATH_SCARCITY_SENS,1,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
DEBT_CRISIS_DEBT_MULT,0.6,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
DEBT_CRISIS_DEBT_THRESHOLD,1.2,dimensionless,gim.core.calibration_params,PRIOR,high,prior
DEBT_CRISIS_EXIT_RATE,0.08,dimensionless,gim.core.calibration_params,DATA plateau-guardrail,medium,data
DEBT_CRISIS_EXIT_THRESHOLD,0.7,dimensionless,gim.core.calibration_params,DATA plateau-guardrail,medium,data
DEBT_CRISIS_GDP_MULT,0.93,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
DEBT_CRISIS_MAX_YEARS,6,count,gim.core.calibration_params,DATA plateau-guardrail,medium,data
DEBT_CRISIS_PERSIST_GDP_MULT,0.965,dimensionless,gim.core.calibration_params,DATA plateau-guardrail,medium,data
DEBT_CRISIS_PERSIST_TENSION_HIT,0.02,dimensionless,gim.core.calibration_params,DATA plateau-guardrail,medium,data
DEBT_CRISIS_PERSIST_TRUST_HIT,0.025,dimensionless,gim.core.calibration_params,DATA plateau-guardrail,medium,data
DEBT_CRISIS_RATE_THRESHOLD,0.12,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
DEBT_CRISIS_STABILITY_HIT,0.15,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
DEBT_CRISIS_TENSION_HIT,0.15,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
DEBT_CRISIS_TRUST_HIT,0.15,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
DEBT_CRISIS_UNEMPLOYMENT_HIT,0.05,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
DEBT_CRISIS_UNEMPLOYMENT_MAX,0.3,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
DEBT_SPREAD_FRAGILITY_BASE,0.7,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
DEBT_SPREAD_FRAGILITY_SENS,0.6,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
DEBT_SPREAD_LINEAR,0.06,dimensionless,gim.core.calibration_params,DATA: Hilscher-Nosbusch 2010 ~2.1 bp/pp at neutral risk,unspecified,unspecified
DEBT_SPREAD_QUADRATIC,0.1,dimensionless,gim.core.calibration_params,DATA: Arora-Cerisola 2001 nonlinear acceleration,unspecified,unspecified
DEBT_SPREAD_RISK_BASE,0.5,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
DEBT_SPREAD_RISK_SENS,0.5,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
DEBT_SPREAD_THRESHOLD,0.6,dimensionless,gim.core.calibration_params,DATA: Maastricht 60% + Reinhart-Rogoff EM threshold,unspecified,unspecified
DEBT_STRESS_CAP,3,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
DEBT_STRESS_THRESHOLD,1,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
DECARB_DEVELOPMENT_DEPENDENT,true,bool,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
DECARB_DEV_BASE,-0.0779,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
DECARB_DEV_MAX,0.06,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
DECARB_DEV_MIN,0,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
DECARB_DEV_SLOPE,0.0107,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
DECARB_RATE,0.0160250825898,dimensionless,gim.core.calibration_params,UNSPECIFIED,medium,artifact
DECARB_RATE_OBSERVED_REFERENCE,0.0160250825898,dimensionless,gim.core.calibration_params,UNSPECIFIED,medium,data
DECARB_RATE_STRUCTURAL,0.0160250825898,dimensionless,gim.core.calibration_params,ARTIFACT,medium,artifact
DEMOGRAPHIC_LOGISTIC,false,bool,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
ECS_DEFAULT,3,dimensionless,gim.core.calibration_params,IPCC_AR6,low,validated
ECS_MAX,4,dimensionless,gim.core.calibration_params,IPCC_AR6,low,unspecified
ECS_MIN,1.5,dimensionless,gim.core.calibration_params,IPCC_AR6,low,unspecified
ELASTICITY_MARGINAL_UTILITY,1.45,dimensionless,gim.core.calibration_params,DICE16,medium,unspecified
EMISSIONS_SCALE,0.975542443425,dimensionless,gim.core.calibration_params,GCP2023,low,validated
ENERGY_DEMAND_INCOME_ELASTICITY,0,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
ENERGY_DEMAND_POP_ELASTICITY,0,dimensionless,gim.core.calibration_params,F2.4,unspecified,unspecified
ENERGY_DEMAND_PRICE_RESPONSE,true,bool,gim.core.calibration_params,E3.1,unspecified,unspecified
ENERGY_PRICE_REF,1,dimensionless,gim.core.calibration_params,D1,unspecified,unspecified
ENERGY_PRICE_SUBSTITUTION,false,bool,gim.core.calibration_params,D1,unspecified,unspecified
EVENT_BASE_PROB,0.012,dimensionless,gim.core.calibration_params,PRIOR,high,prior
EVENT_MAX_EXTRA_PROB,0.07,dimensionless,gim.core.calibration_params,PRIOR,high,prior
EVENT_POP_LOSS_BASE,0.004,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
EVENT_POP_LOSS_RISK_SENS,0.015,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
EVENT_POP_RESILIENCE_DAMP,0.35,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
EVENT_PROB_MAX,0.5,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
EVENT_RESILIENCE_DAMP,0.4,dimensionless,gim.core.calibration_params,PRIOR,high,prior
EVENT_SEVERITY_BASE,0.03,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
EVENT_SEVERITY_RESILIENCE_DAMP,0.5,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
EVENT_SEVERITY_RISK_SENS,0.15,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
EVENT_SHOCK_PENALTY_CAP,0.1,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
EVENT_SHOCK_PENALTY_SEVERITY_SENS,0.5,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
EVENT_SHOCK_YEARS,2,count,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
EVENT_TEMP_WARMING_SENS,0.15,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
EVENT_TENSION_JUMP_BASE,0.03,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
EVENT_TENSION_JUMP_RISK_SENS,0.1,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
EVENT_TRUST_PENALTY_BASE,0.02,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
EVENT_TRUST_PENALTY_RISK_SENS,0.03,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
EVENT_TRUST_REWARD_BASE,0.02,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
EVENT_TRUST_REWARD_RESILIENCE_SENS,0.02,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
EVENT_TRUST_STABILITY_THRESHOLD,0.6,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
EXPECTATIONS_FORESIGHT,0,dimensionless,gim.core.calibration_params,F2.5,unspecified,unspecified
EXPECTATIONS_HORIZON,0,count,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
EXPECTATIONS_INFLATION_WEIGHT,0,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
EXPECTATIONS_REFRESH_EVERY,5,count,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
FOOD_AVAILABILITY_MAX,2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
FOOD_DEMAND_INCOME_ELASTICITY,0.25,dimensionless,gim.core.calibration_params,F2.4,unspecified,unspecified
FOOD_DEMAND_POP_ELASTICITY,1,dimensionless,gim.core.calibration_params,F2.4,unspecified,unspecified
FOOD_RESERVE_WEIGHT,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
FORCING_LOG_COEFF,5.35,dimensionless,gim.core.calibration_params,IPCC_AR6,low,validated
FUEL_TAX_EFFECT_MAX,1.4,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
FUEL_TAX_EFFECT_MIN,0.6,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
FUEL_TAX_EMISSIONS_SENS,0.12,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
FX_CRISIS_CURRENT_ACCOUNT_DEFICIT_THRESHOLD,-0.04,dimensionless,gim.core.calibration_params,PRIOR,high,prior
FX_CRISIS_DEBT_MULT,1.1,dimensionless,gim.core.calibration_params,PRIOR,high,prior
FX_CRISIS_EXTERNAL_DEBT_THRESHOLD,0.5,dimensionless,gim.core.calibration_params,PRIOR,high,prior
FX_CRISIS_GDP_MULT,0.85,dimensionless,gim.core.calibration_params,PRIOR,high,prior
FX_CRISIS_IMPORT_LEAKAGE_WEIGHT,0.15,dimensionless,gim.core.calibration_params,PRIOR,high,prior
FX_CRISIS_MAX_YEARS,4,count,gim.core.calibration_params,PRIOR,high,prior
FX_CRISIS_PERSIST_GDP_MULT,0.98,dimensionless,gim.core.calibration_params,PRIOR,high,prior
FX_CRISIS_PERSIST_TENSION_HIT,0.015,dimensionless,gim.core.calibration_params,PRIOR,high,prior
FX_CRISIS_PERSIST_TRUST_HIT,0.02,dimensionless,gim.core.calibration_params,PRIOR,high,prior
FX_CRISIS_RECOVERY_RESERVE_MONTHS,3,dimensionless,gim.core.calibration_params,PRIOR,high,prior
FX_CRISIS_RESERVE_MONTHS_THRESHOLD,3,dimensionless,gim.core.calibration_params,PRIOR,high,prior
FX_CRISIS_RESERVE_OFFSET_WEIGHT,1,dimensionless,gim.core.calibration_params,PRIOR,high,prior
FX_CRISIS_STABILITY_HIT,0.12,dimensionless,gim.core.calibration_params,PRIOR,high,prior
FX_CRISIS_TENSION_HIT,0.14,dimensionless,gim.core.calibration_params,PRIOR,high,prior
FX_CRISIS_TRUST_HIT,0.12,dimensionless,gim.core.calibration_params,PRIOR,high,prior
FX_CRISIS_UNEMPLOYMENT_HIT,0.06,dimensionless,gim.core.calibration_params,PRIOR,high,prior
F_NONCO2_BASE_YEAR,2015,count,gim.core.calibration_params,IPCC_AR6,low,unspecified
F_NONCO2_DEFAULT,0.4,dimensionless,gim.core.calibration_params,IPCC_AR6,low,validated
F_NONCO2_FORWARD_FROM_YEAR,2024,count,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
F_NONCO2_FORWARD_TABLE,true,bool,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
F_NONCO2_TREND,0.012,dimensionless,gim.core.calibration_params,IPCC_AR6,low,unspecified
GAMMA_ENERGY,0.042,dimensionless,gim.core.calibration_params,BACKTEST,medium,backtest
GDP_ADJUST_SPEED_BASE,0.3,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
GDP_ADJUST_SPEED_GAP_SENS,0.35,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
GEOGRAPHY_CLIMATE_LINKS,true,bool,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
GEOGRAPHY_CONFLICT_LINKS,true,bool,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
GEOGRAPHY_TENSION_LINKS,true,bool,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
GEO_CLIMATE_SPILLOVER_W,0.1,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
GEO_CONTAGION_W,0.03,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
GEO_TENSION_SPILLOVER_W,0.05,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
GINI_FISCAL_SENS,-60,dimensionless,gim.core.calibration_params,PRIOR,high,prior
GINI_GROWTH_SENS,6,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
GINI_MAX,70,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
GINI_MIN,20,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
GINI_RECESSION_SENS,4,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
GINI_RECESSION_TENSION_OFFSET,0.5,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
GINI_TENSION_REF,0.4,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
GINI_TENSION_SENS,1.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
GROUND_MILITARY_POWER,true,bool,gim.core.calibration_params,F3,unspecified,unspecified
GROWTH_DAMAGE_TFP_COEFF,0,dimensionless,gim.core.calibration_params,F4/Burke2015 on-value 0.0015,medium,data
HEAT_CAP_DEEP,100,dimensionless,gim.core.calibration_params,DICE16,medium,unspecified
HEAT_CAP_SURFACE,8,dimensionless,gim.core.calibration_params,BACKTEST,medium,backtest
INEQUALITY_EFFECT_SENS,0.0005,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
INFLATION_COSTPUSH_COEFF,0.05,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
INFLATION_EXPECTATION_ANCHOR,0.5,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
